username,has_profile_pic,followers,following,post_count,follow_ratio,bio_length,contains_link,suspicious_keywords_present,mentions_count,emoji_in_bio,is_verified,digit_count_in_username,label
hardikgehlott,TRUE,258,756,0,0.34,1,FALSE,FALSE,0,FALSE,FALSE,0,1
ma_hehe_k,TRUE,415,4819,9,0.09,20,TRUE,FALSE,1,TRUE,FALSE,0,1
nonyabuissnes_,FALSE,299,552,0,0.54,0,FALSE,FALSE,0,FALSE,FALSE,0,1
suhailagk,TRUE,129,84,15,1.54,0,FALSE,FALSE,0,FALSE,FALSE,0,1
sh.ery5116,TRUE,592,7126,0,0.08,19,FALSE,FALSE,0,FALSE,FALSE,4,1
mr.kunal_23,TRUE,330,342,6,0.96,18,TRUE,FALSE,1,TRUE,FALSE,2,1
rufy__a.s,TRUE,2935,241,0,12.18,64,FALSE,FALSE,1,TRUE,FALSE,0,1
amaan.fkhan,TRUE,491,515,8,0.95,11,FALSE,FALSE,0,TRUE,FALSE,0,1
_amaan_1197_,TRUE,422,685,59,0.62,116,FALSE,FALSE,0,TRUE,FALSE,4,1
baseet_sk,TRUE,311,1004,2,0.31,0,FALSE,FALSE,0,FALSE,FALSE,0,1
saif_mkr,TRUE,507,472,0,1.07,46,TRUE,FALSE,0,TRUE,FALSE,0,1
maitrxy__,TRUE,486,668,27,0.73,0,FALSE,FALSE,0,FALSE,FALSE,0,1
abdulmunafhodekar,TRUE,147,34,5,4.32,0,FALSE,FALSE,0,FALSE,FALSE,0,1
nawazbargir,TRUE,446,384,15,1.16,0,FALSE,FALSE,0,FALSE,FALSE,0,1
nooman95,FALSE,150,607,0,0.25,19,FALSE,FALSE,1,TRUE,FALSE,2,1
football.f.a.n.s,TRUE,775,3856,80,0.2,59,FALSE,FALSE,0,TRUE,FALSE,0,1
ahmed.raza1224,TRUE,312,318,2,0.98,12,FALSE,FALSE,0,TRUE,FALSE,4,1
prachi_salvi_,TRUE,1133,1588,107,0.71,7,FALSE,FALSE,0,FALSE,FALSE,0,1
manish_ghanshanii,TRUE,205,267,3,0.77,23,FALSE,FALSE,0,TRUE,FALSE,0,1
taif._.45,TRUE,205,877,1,0.23,40,FALSE,FALSE,0,TRUE,FALSE,2,1
ho3verb0ard,TRUE,350,467,9,0.75,12,FALSE,FALSE,0,FALSE,FALSE,2,1
pradnya_spg,TRUE,394,1106,73,0.36,13,FALSE,FALSE,0,TRUE,FALSE,0,1
ziyxxa__,TRUE,372,326,1,1.14,0,FALSE,FALSE,0,FALSE,FALSE,0,1
arooshq_,TRUE,218,322,0,0.68,11,FALSE,FALSE,1,TRUE,FALSE,0,1
adeeb.fr,FALSE,164,627,0,0.26,0,FALSE,FALSE,0,FALSE,FALSE,0,1
danishwasta22,TRUE,176,2688,26,0.07,0,FALSE,FALSE,0,FALSE,FALSE,2,1
stephy_1005,TRUE,955,897,8,1.06,38,FALSE,FALSE,0,TRUE,FALSE,4,1
_._.ashraf,TRUE,297,801,11,0.37,118,FALSE,FALSE,0,TRUE,FALSE,0,1
khan_abushahma_,TRUE,626,174,6,3.6,6,FALSE,FALSE,0,FALSE,FALSE,0,1
b.a.b.a.r_m.a.n.i.a.c.s.s,TRUE,1907,6624,0,0.29,56,TRUE,FALSE,0,TRUE,FALSE,0,1
chitrasentalhan143_,TRUE,511,2284,75,0.22,140,FALSE,FALSE,0,TRUE,FALSE,3,1
_prashantt25_,TRUE,405,625,6,0.65,7,FALSE,FALSE,0,FALSE,FALSE,2,1
arsalaan832,TRUE,177,206,0,0.86,0,FALSE,FALSE,0,FALSE,FALSE,3,1
rujul.26,TRUE,129,368,12,0.35,12,FALSE,FALSE,0,TRUE,FALSE,2,1
